,building_type,sqft,yearbuilt,numberoffloors,airTemperature,humidity,power_consumption
0,Dining,61918.0,1974.0,5.0,10.344250892615689,63.06264216713357,223.9476019418998
1,Athletic,37427.0,1918.0,16.0,12.852167417199851,62.73564437824883,182.83486090925575
2,Sports Stadium,65051.0,1968.0,25.0,24.288034294998806,25.5083874959562,537.309048057034
3,Office,71778.0,1924.0,6.0,9.331359558201642,63.75204464165797,269.0756468486127
4,Parking,14193.0,1998.0,1.0,15.206741971996571,70.76023976649252,32.52784138909861
5,Greenhouse,31395.0,1980.0,5.0,10.533084172616359,84.17497873648375,8.312512643798893
6,Prison/Incarceration,73600.0,1941.0,3.0,10.36299885652833,62.41092678539392,41.30045529897882
7,Gynasium,358484.0,1921.0,10.0,15.371515178535157,61.08128706966769,141.1390175602268
8,Auditorium,23463.0,1930.0,11.0,15.43765638469438,64.22471142209845,104.78212577271137
9,Residence Hall,71455.0,2017.0,11.0,24.975259136659773,71.07504309903692,118.65045066342473
10,"Community Center, Community Centers",18418.0,1925.0,1.0,24.51073148161642,26.7394588728523,52.35917167388427
11,Social/Meeting Hall,38007.0,1975.0,8.0,12.52980357808387,62.67358223911945,0.0197319881440948
12,College Laboratory,214415.0,1967.0,10.0,9.565466593437852,63.24873890397518,133.36812279839705
13,Athletic Field,283.0,1941.0,4.0,22.781199327955274,63.9036347990733,3.849574568099527
14,Museum,50577.0,1959.0,9.0,25.075584311937067,26.03890213985954,6.03028545321116
15,Fire Station,283.0,1957.0,23.0,15.45620513015388,63.2165821633854,34.73431253562301
16,Other - Public Services,8115.0,1910.0,6.0,15.736086688161834,62.41238844294962,28.251900394228727
17,Restaurant,4986.0,1961.0,11.0,22.177918020250694,71.24375420546953,51.30971391731322
18,Museum,96681.0,1946.0,10.0,23.513300646260166,63.00733054229163,19.452606105608194
19,Other - Entertainment/Public Assembly,283.0,1964.0,1.0,8.808691937894206,71.1125723011422,10.698349901979228
20,K-12 School,64361.0,1912.0,9.0,15.745750445045127,61.29133679824017,137.18724040750368
21,Primary/Secondary Classroom,283.0,1950.0,1.0,10.494057396927484,84.17497873648375,0.0197319881440948
22,Restaurant,501629.0,1966.0,7.0,23.353426823166973,71.96608879078113,575.4013082512516
23,Community Center,8302.0,1970.0,1.0,12.289989530113344,84.17497873648375,0.0197319881440948
24,Academic,35110.0,1955.0,1.0,10.205928078537234,82.17224911876356,67.40424053308406
