,building_type,sqft,yearbuilt,numberoffloors,airTemperature,humidity,power_consumption
0,Lab Building,21578.0,1962.0,6.0,9.772726515400578,76.99176764989281,50.01139083094956
1,Education,2759.0,1980.0,1.0,14.823685208475903,71.78891874308866,8.621108070394033
2,Parking: Enclosed Garage,85915.0,1962.0,6.0,11.856707623589786,63.32219121305238,191.781393285794
3,Office,56650.0,1926.0,5.0,10.841084648294625,70.91888736497988,33.13759077503217
4,Public services,186946.0,1914.0,7.0,14.983607678508722,70.98420043390347,91.0849288031892
5,Dormitory,22619.0,1920.0,5.0,9.774985198876676,63.20778199648425,147.85113004668383
6,Support,30962.0,1908.0,9.0,13.159609071323095,63.95848320723923,43.95211693412331
7,Warehouse (Unconditioned),8246.0,1914.0,4.0,11.848926307712071,62.89807519277969,0.0197319881440948
8,"Park, Community Centers",392.0,1918.0,2.0,22.326000443362567,70.79922423902569,14.862086167264778
9,Academic,16973.0,1963.0,1.0,12.454651318829855,38.51532141621037,36.13380840539073
10,Animal Shelter,14999.0,1960.0,1.0,9.792618924713896,63.20899712652939,2.4383660397396447
11,Parking: Open Air Ramp,140908.0,1916.0,12.0,10.411857197105105,64.31994356889047,37.87916142143007
12,Fire Station,283.0,1963.0,6.0,15.83372170855887,61.95295601987471,35.62242135509443
13,Planetarium,92035.0,2007.0,19.0,25.075584311937067,25.5083874959562,20.461832946700838
14,Lodging/residential,62448.0,1915.0,1.0,15.017862731183534,70.43109844230538,0.0197319881440948
15,"Community Center, Community Centers",283.0,1970.0,1.0,10.181200804487531,71.4108947573801,0.0197319881440948
16,Research,24649.0,2004.0,9.0,13.25274723876117,63.41332333474632,84.47006053383853
17,College Classroom,94719.0,1958.0,7.0,9.449897663361476,71.9310959284561,33.52288718646695
18,Other/Specialty Hospital,85262.0,1999.0,5.0,15.347028026453026,61.97183306939348,88.21376030880405
19,Warehouse (Unconditioned),24180.0,1969.0,5.0,11.15967714180265,62.90677559929725,0.0197319881440948
20,Museum,13437.0,1925.0,5.0,9.502818067183815,72.23379299713666,110.67999300886643
21,College Laboratory,83902.0,1913.0,6.0,10.360515749966977,74.06720045040979,41.874271771101135
22,College Classroom,110488.0,1915.0,7.0,22.095015678217663,27.14274695802869,310.2480349841043
23,Warehouse,283.0,1985.0,11.0,9.418234181991668,62.85404276773424,31.10312665744062
24,Parking Garage,38698.0,2017.0,6.0,24.033057611519784,25.7112593556168,45.510704742083504
25,Public Service,28616.0,1980.0,5.0,13.483319345481435,63.1868179447538,0.0197319881440948
26,Academic,73678.0,1970.0,7.0,12.203385551709331,42.38463871310116,85.74325972095684
27,Stadium,34773.0,2007.0,5.0,22.42641197862374,71.33244646646297,308.62597695497976
28,Sports Stadium,18621.0,1944.0,7.0,21.378230738913047,63.34606399477556,49.75838000954979
29,Research,10571.0,1971.0,8.0,12.76116148215101,62.95732736347152,118.93108769967006
30,"Fire Station, Fire Stations",283.0,1900.0,2.0,25.075584311937067,71.25338164089045,3.002746755232014
31,Residence Hall/Dormitory,108886.0,1948.0,2.0,11.947764774305066,41.94110672385243,2.241441671375867
