Building Area(m2),Building_height(m),Building Type,Temperature(degree C),Relative Humidity(%),Solar Radiation(W/m2),Energy Consumption(KW/m2/yr)
390.0,12.0,Single house,27.0,100,12.1,140.0
660.0,9.0,Single house,27.0,84,22.8,210.0
290.0,9.0,Townhouse,27.0,91,16.3,120.0
710.0,6.0,Townhouse,28.0,100,11.8,220.0
380.0,9.0,Apartment,33.0,100,17.0,140.0
400.0,9.0,Apartment,27.0,67,12.2,140.0
280.0,12.0,Duplex,27.0,91,21.2,110.0
430.0,9.0,Single house,28.0,77,16.2,150.0
790.0,12.0,Single house,28.0,78,22.8,240.0
740.0,9.0,Duplex,29.0,84,12.8,230.0
610.0,9.0,Single house,28.0,81,20.5,200.0
600.0,9.0,Single house,28.0,97,8.4,200.0
290.0,6.0,Single house,27.0,88,13.5,110.0
590.0,6.0,Single house,27.0,80,16.5,190.0
610.0,9.0,Single house,28.0,84,5.2,200.0
560.0,6.0,Single house,29.0,83,16.5,180.0
340.0,9.0,Single house,29.0,97,15.9,130.0
430.0,9.0,Single house,29.0,76,19.0,150.0
360.0,12.0,Single house,33.0,83,13.0,130.0
630.0,9.0,Apartment,40.0,68,28.0,200.0
170.0,9.0,Single house,40.0,47,23.5,80.0
490.0,9.0,Single house,33.0,87,7.2,170.0
480.0,12.0,Single house,35.0,89,24.7,170.0
790.0,6.0,Single house,25.0,70,13.4,240.0
340.0,9.0,Single house,27.0,100,4.0,130.0
500.0,9.0,Single house,28.0,61,16.3,170.0
530.0,12.0,Apartment,30.0,79,20.0,180.0
630.0,12.0,Single house,27.0,76,23.6,200.0
570.0,12.0,Single house,28.0,98,17.9,190.0
260.0,6.0,Single house,28.0,97,12.5,110.0
300.0,9.0,Single house,29.0,81,8.3,120.0
560.0,6.0,Single house,29.0,83,33.7,180.0
730.0,6.0,Single house,28.0,68,6.7,230.0
490.0,9.0,Single house,29.0,54,4.8,160.0
410.0,9.0,Apartment,29.0,74,16.8,140.0
500.0,9.0,Single house,30.0,81,16.6,170.0
540.0,9.0,Single house,30.0,94,21.4,180.0
770.0,9.0,Single house,29.0,94,9.6,240.0
440.0,12.0,Single house,30.0,74,31.6,150.0
520.0,9.0,Single house,29.0,75,17.5,170.0
520.0,9.0,Duplex,30.0,66,18.5,170.0
620.0,9.0,Single house,30.0,61,19.0,200.0
440.0,9.0,Single house,31.0,58,22.4,150.0
440.0,12.0,Single house,27.0,100,10.4,150.0
310.0,12.0,Single house,23.0,72,13.0,120.0
550.0,3.0,Single house,25.0,73,14.7,180.0
500.0,12.0,Single house,28.0,63,18.4,170.0
380.0,9.0,Duplex,29.0,88,16.8,140.0
670.0,6.0,Single house,29.0,59,22.9,210.0
390.0,9.0,Apartment,29.0,76,8.5,140.0
400.0,9.0,Single house,29.0,68,8.6,140.0
630.0,6.0,Single house,29.0,84,16.3,200.0
410.0,9.0,Apartment,29.0,72,10.2,140.0
300.0,9.0,Single house,27.0,64,32.2,120.0
500.0,12.0,Single house,29.0,78,21.1,170.0
560.0,9.0,Single house,29.0,84,28.2,180.0
520.0,6.0,Duplex,26.0,80,31.9,170.0
720.0,6.0,Single house,29.0,83,14.9,220.0
590.0,9.0,Single house,27.0,71,20.0,190.0
670.0,9.0,Apartment,27.0,74,14.7,210.0
550.0,3.0,Single house,29.0,70,30.7,180.0
310.0,12.0,Single house,28.0,74,18.9,120.0
430.0,9.0,Duplex,28.0,69,4.5,150.0
250.0,6.0,Single house,28.0,57,9.7,100.0
420.0,6.0,Apartment,27.0,81,16.3,150.0
350.0,12.0,Single house,32.0,74,13.0,130.0
760.0,6.0,Single house,29.0,59,22.7,230.0
430.0,12.0,Single house,28.0,84,8.1,150.0
420.0,9.0,Duplex,27.0,68,9.9,150.0
630.0,6.0,Single house,28.0,79,15.6,200.0
460.0,12.0,Single house,28.0,88,21.7,160.0
580.0,6.0,Apartment,29.0,80,21.9,190.0
830.0,12.0,Single house,29.0,93,15.8,250.0
370.0,12.0,Apartment,30.0,64,25.7,130.0
460.0,6.0,Single house,29.0,84,5.8,160.0
390.0,9.0,Single house,29.0,70,23.5,140.0
440.0,12.0,Single house,29.0,68,32.2,150.0
340.0,9.0,Single house,29.0,72,15.3,130.0
580.0,6.0,Townhouse,29.0,75,12.3,190.0
230.0,9.0,Apartment,29.0,79,14.2,100.0
780.0,9.0,Single house,27.0,64,21.2,240.0
290.0,9.0,Single house,25.0,90,9.7,110.0
360.0,9.0,Single house,29.0,85,24.5,130.0
710.0,9.0,Single house,30.0,60,24.7,220.0
380.0,9.0,Single house,30.0,97,10.6,140.0
250.0,9.0,Single house,30.0,100,5.5,110.0
280.0,12.0,Apartment,30.0,93,12.5,110.0
810.0,12.0,Single house,29.0,77,13.1,250.0
420.0,9.0,Apartment,32.0,66,12.2,150.0
350.0,6.0,Apartment,29.0,92,14.1,130.0
370.0,9.0,Single house,29.0,74,16.5,130.0
620.0,12.0,Townhouse,29.0,94,30.5,200.0
510.0,12.0,Single house,29.0,81,9.5,170.0
690.0,9.0,Single house,29.0,91,18.2,220.0
680.0,12.0,Duplex,30.0,83,11.2,220.0
640.0,9.0,Single house,30.0,87,4.7,200.0
560.0,12.0,Single house,25.0,79,9.9,180.0
630.0,12.0,Single house,25.0,100,29.0,200.0
410.0,9.0,Single house,26.0,80,21.0,140.0
760.0,9.0,Single house,27.0,84,6.8,230.0
