,Shape,Orientation,Window to Wall Ratio,Height,Surface Area,Material,thickness,set point,Heating System,Cooling System,AC Type,Heater type,PVs,Ceiling fans,Others
0,U-Shape,North,0.55,15,242.42,Steel,0.3,21,0,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
1,L-Shape,North,0.42,15,148.82,Wood,0.23,20,1,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
2,Rectangular,East,0.49,12,78.44,Steel,0.33,22,1,0,VRF,Heat Pump,0,2,"Oven, Dishwasher"
3,Rectangular,East,0.34,12,50.71,Steel,0.28,22,1,1,Split AC,Gas Heating,1,0,"Microwave, Washer"
4,Rectangular,East,0.38,12,154.37,Concrete,0.22,20,0,0,VRF,Heat Pump,1,0,"Oven, Dishwasher"
5,L-Shape,East,0.37,12,86.88,Steel,0.35,19,1,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
6,L-Shape,North,0.46,18,199.05,Steel,0.31,20,0,0,Split AC,Gas Heating,1,1,"TV, Fridge"
7,Rectangular,East,0.52,18,50.71,Wood,0.36,20,1,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
8,L-Shape,North,0.53,12,87.09,Steel,0.28,21,1,0,Package AC,Heat Pump,0,1,"TV, Fridge"
9,U-Shape,East,0.43,10,50.71,Steel,0.31,22,0,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
10,L-Shape,East,0.43,18,66.19,Steel,0.34,19,1,1,Split AC,Gas Heating,1,0,"TV, Fridge"
11,U-Shape,South,0.48,15,180.5,Concrete,0.38,22,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
12,U-Shape,North,0.58,10,50.71,Concrete,0.33,19,1,1,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
13,Rectangular,East,0.41,15,189.86,Wood,0.22,19,0,1,VRF,Gas Heating,1,1,"Microwave, Washer"
14,L-Shape,East,0.41,12,227.66,Steel,0.26,22,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
15,U-Shape,East,0.45,10,192.12,Concrete,0.27,22,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
16,Rectangular,East,0.45,10,307.33,Wood,0.28,22,1,0,Package AC,Gas Heating,0,2,"Microwave, Washer"
17,Rectangular,South,0.41,10,70.1,Steel,0.27,19,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
18,Rectangular,South,0.46,15,189.2,Concrete,0.35,22,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
19,L-Shape,North,0.6,15,329.31,Concrete,0.26,22,0,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
